Group G-1:,,,,
==================================================,,,,
,,,,
Team 1,,,,
--------------------------------------------------,,,,
1. 5002, Aarav Singh, CCDS, Male,4.02
3. 3731, Brayden Cooper, NIE, Male,4.1
4. 2978, Dante Lee, SBS, Male,4.04
5. 580, Derek Xu, SoH, Male,4.15
,,,,
Team 873,,,,
--------------------------------------------------,,,,
1. 5345, Beckett Liu, EEE, Male,4.01
2. 2824, Elliot Bautista, MAE, Male,4.17
3. 2434, Eleanor Hayes, SBS, Female,4.14
4. 2062, Fei Wang, LKCMedicine, Male,4.14
5. 1354, Gita Kristina, SSS, Female,4.15
,,,,
Team 874,,,,
--------------------------------------------------,,,,
1. 1152, Gaurav Nair, CoE, Male,4.1
2. 735, Jaxon Ward, CCDS, Male,3.92
3. 395, Jade Bell, CCEB, Female,4.03
4. 3708, Katrina Ong, MSE, Female,4.22
5. 1296, Kavya Nair, CoB (NBS), Female,4.09
,,,,
Team 875,,,,
--------------------------------------------------,,,,
1. 5901, Landon Zhao, EEE, Male,4.11
2. 660, Leonardo Santos, MSE, Male,4.04
3. 5502, Layla Moore, CCEB, Female,4.01
4. 2342, Liangyu, SoH, Female,4
5. 493, Nina Binti Ismail, CCDS, Female,4
,,,,
Team 876,,,,
--------------------------------------------------,,,,
1. 1889, Mason Clark, SoH, Male,3.97
2. 4022, Musa Khan, CCEB, Male,4.18
3. 2949, Naoko Nishiyama, EEE, Female,4
4. 455, Oliver Davis, CoB (NBS), Male,4.2
5. 3803, Qingyu, SBS, Female,4.2
,,,,
Team 877,,,,
--------------------------------------------------,,,,
1. 4134, Megan Ortiz, SoH, Female,4.12
2. 3398, Pengfei, CCEB, Female,4.15
3. 280, Pablo Mendoza, MAE, Male,4.02
4. 3715, Petrus Santoso, CoB (NBS), Male,4.1
5. 5617, Rashid Khan, EEE, Male,3.86
,,,,
Team 878,,,,
--------------------------------------------------,,,,
1. 3710, Pengfei, CCEB, Male,4
2. 4639, Rehan Tariq, WKW SCI, Male,4.05
3. 4309, Riya Suresh, EEE, Female,4.02
4. 4608, Sanya Bansal, CCDS, Female,4.15
5. 3427, Siddharth Rao, CoE, Male,3.95
,,,,
Team 879,,,,
--------------------------------------------------,,,,
1. 5378, Sophie Lim, CoB (NBS), Female,4.05
2. 3978, Xena Alvarado, MAE, Female,4.08
3. 4272, Sergei Moroz, EEE, Male,3.86
4. 3539, Usman Tariq, SoH, Male,4.2
5. 4047, Wei Jie Yeo, CoE, Male,4.15
,,,,
Team 880,,,,
--------------------------------------------------,,,,
1. 1565, Vera Ong, CoB (NBS), Female,4.15
2. 1311, Yuki Sato, MAE, Female,4.14
3. 3337, Yuki Suzuki, EEE, Female,4.2
4. 3829, Zhao Ming, SPMS, Male,4.12
5. 1471, Yong Wei, CoB (NBS), Male,4.22
,,,,
Group G-89:,,,,
==================================================,,,,
,,,,
Team 881,,,,
--------------------------------------------------,,,,
1. 2708, Aisha Binti Ahmad, CCEB, Female,4.11
2. 2904, Alexandra Orlova, SBS, Female,4.14
3. 911, Ahsan Waseem, CCDS, Male,3.88
4. 4139, Amira Yusof, SSS, Female,3.88
5. 4078, Dante Tan, EEE, Male,4.22
,,,,
Team 882,,,,
--------------------------------------------------,,,,
1. 399, Ajay Kumar, CCDS, Male,3.97
2. 626, Cameron Torres, SBS, Male,4.01
3. 2586, Ananya Iyer, CEE, Female,4.03
4. 2039, Belinda Ong, CCEB, Female,3.85
5. 2666, Cynthia Ng, SPMS, Female,4.08
,,,,
Team 883,,,,
--------------------------------------------------,,,,
1. 402, Chloe Hall, CCEB, Female,4.01
2. 5475, Ella White, MAE, Female,4.1
3. 980, Carmen Torres, SBS, Female,4.48
4. 2201, David Lewis, CoB (NBS), Male,4.07
5. 3320, Felix Yang, EEE, Male,4.14
,,,,
Team 884,,,,
--------------------------------------------------,,,,
1. 3003, Dong-Hoon Park, CCEB, Male,4.11
2. 3645, Felix Lim, SBS, Male,4.19
3. 2340, Fiona Parker, SoH, Female,4.21
4. 2503, Hadley Chen, SSS, Female,4.08
5. 3130, Harry Chua, ADM, Male,4.2
,,,,
Team 885,,,,
--------------------------------------------------,,,,
1. 3984, Fengjie, SBS, Female,4.15
2. 4093, Kiara Tan, WKW SCI, Female,3.9
3. 4476, Huanyu, ADM, Male,3.85
4. 4864, Isaac Lee, EEE, Male,4.1
5. 5532, Kieran Lewis, CCDS, Male,4.03
,,,,
Team 886,,,,
--------------------------------------------------,,,,
1. 3951, Kian Wei Lim, EEE, Male,4.02
2. 2873, Landon Wood, CCDS, Male,4
3. 5525, Leo Salazar, MAE, Male,4.15
4. 4089, Lily Evans, ASE, Female,4.25
5. 3053, Miki Nishimura, CoB (NBS), Female,4.03
,,,,
Team 887,,,,
--------------------------------------------------,,,,
1. 2849, Liam Wu, CEE, Male,4.05
2. 1866, Peter Harris, CoE, Male,4.09
3. 1351, Ling Chen, EEE, Female,3.8
4. 1796, Nadia Bukhari, CoB (NBS), Female,4.12
5. 1584, Nadia Lee, CCEB, Female,4.11
,,,,
Team 888,,,,
--------------------------------------------------,,,,
1. 2876, Puneet Kumar, NIE, Male,4.02
2. 1562, Quincy Alvarado, CoB (NBS), Male,4.18
3. 2600, Quinlan Alonzo, SoH, Male,4.03
4. 4499, Sana Khan, CoE, Female,3.9
5. 5606, Sienna Lin, SBS, Female,4.16
,,,,
Team 889,,,,
--------------------------------------------------,,,,
1. 5573, Seung Cho, MAE, Male,4.15
2. 882, Shen Ming, NIE, Male,4.1
3. 1386, Taeyang Kim, SPMS, Male,3.92
4. 2534, Victoria Bell, SSS, Female,3.95
5. 1589, Yani Lestari, SBS, Female,3.8
,,,,
Team 890,,,,
--------------------------------------------------,,,,
1. 1863, Yasmin Yip, SSS, Female,4.18
2. 5792, Zahra Sari, CCDS, Female,4.15
3. 5737, Xiang Chen, EEE, Male,3.89
4. 3004, Yvette Clarke, CoB (NBS), Female,4.25
5. 3225, Zachary Zhang, ADM, Male,4.08
,,,,
Group G-90:,,,,
==================================================,,,,
,,,,
Team 891,,,,
--------------------------------------------------,,,,
1. 132, Aditi Verma, EEE, Female,4
2. 4180, Alyssa Parker, CCDS, Female,4.19
3. 353, Anthony Grant, CEE, Male,4.01
4. 4105, Celia Wang, CoB (NBS), Female,4.14
5. 488, David Young, SBS, Male,4.14
,,,,
Team 892,,,,
--------------------------------------------------,,,,
1. 3518, Bennett Zhang, CCDS, Male,4.18
2. 4075, Dmitry Ivanovich, EEE, Male,4.06
3. 10, Chandra Dewi, CoB (NBS), Female,4.2
4. 5655, Chengwei, CCEB, Female,4.15
5. 5235, Chloe King, SSS, Female,4.02
,,,,
Team 893,,,,
--------------------------------------------------,,,,
1. 5618, Evelyn Clark, ASE, Female,4.1
2. 1702, Gracie Mendoza, MSE, Female,4.03
3. 788, Dai Sato, CCDS, Male,4.26
4. 2213, Hania Khan, SSS, Female,4.04
5. 5294, Karthik Reddy, EEE, Male,4.01
,,,,
Team 894,,,,
--------------------------------------------------,,,,
1. 2612, Jaden Dela Cruz, SSS, Male,4.01
2. 4875, Jiang Bo, CCDS, Male,4.03
3. 2086, Jingyi Li, MSE, Female,4.06
4. 2440, Liam Brown, EEE, Male,4.17
5. 2313, Lila Morgan, CoB (NBS), Female,4.06
,,,,
Team 895,,,,
--------------------------------------------------,,,,
1. 2241, Lakshmi Nair, SSS, Female,4.02
2. 5319, Liang Chen, CCDS, Female,4.19
3. 3964, Liam Davis, SoH, Male,4.1
4. 1887, Maya Mehta, CCEB, Female,4.2
5. 1381, Nathan Lim, EEE, Male,4.02
,,,,
Team 896,,,,
--------------------------------------------------,,,,
1. 846, Mei Li, CoB (NBS), Female,4.01
2. 4142, Meisha Mehta, MSE, Female,4.12
3. 1912, Dingming, CCDS, Male,4.52
4. 4763, Mila Richardson, EEE, Female,3.92
5. 1514, Nikhil Singhal, SoH, Male,4.1
,,,,
Team 897,,,,
--------------------------------------------------,,,,
1. 3542, Nadia Pineda, CEE, Female,4.09
2. 1319, Neha Verma, MAE, Female,4.06
3. 3506, Nathan Kim, CCDS, Male,4.26
4. 4829, Oliver Chen, SSS, Male,3.89
5. 3779, Oliver Cheng, MSE, Male,3.89
,,,,
Team 898,,,,
--------------------------------------------------,,,,
1. 4729, Oscar Ho, CCDS, Male,3.95
2. 5091, Rajesh Mehta, SPMS, Male,4.03
3. 24, Rida Awan, SoH, Female,4.06
4. 4191, Romy Hughes, CoB (NBS), Female,4.04
5. 1601, Samira Younis, SSS, Female,4.01
,,,,
Team 899,,,,
--------------------------------------------------,,,,
1. 4417, Samiullah Tariq, CCDS, Male,4
2. 4929, Usman Malik, CEE, Male,4.08
3. 3136, Sakura Yoshida, SPMS, Female,3.86
4. 4553, Sandeep Kumar, CCEB, Male,3.8
5. 1753, Sonia Lee, SoH, Female,4.15
,,,,
Team 900,,,,
--------------------------------------------------,,,,
1. 4147, Sofiya Khan, CCEB, Female,4.03
2. 2414, Yuna Kim, CEE, Female,4.15
3. 1561, Vince Mendoza, SBS, Male,4.1
4. 273, Yunfeng, CoB (NBS), Male,4.1
5. 1898, Zara Rivera, CCEB, Female,4.22
,,,,
Group G-91:,,,,
==================================================,,,,
,,,,
Team 901,,,,
--------------------------------------------------,,,,
1. 1749, Aiyun Zhou, CEE, Male,4.2
2. 4240, Ajay Thakur, CCDS, Male,4.14
3. 5748, Akash Choudhary, CoE, Male,3.85
4. 5640, Alya Binti Harun, CCEB, Female,4.3
5. 2997, Alyssa Yeo, CoB (NBS), Female,4.05
,,,,
Team 902,,,,
--------------------------------------------------,,,,
1. 3085, Andrew Wong, ADM, Male,4.03
2. 2660, Gavin Tan, CoE, Male,3.88
3. 5120, Aria Wang, SBS, Female,4.2
4. 5972, Clara Xu, SoH, Female,4.03
5. 3998, Elena Morales, MAE, Female,4.17
,,,,
Team 903,,,,
--------------------------------------------------,,,,
1. 4971, Charlotte Anderson, CoE, Female,4
2. 4656, Exiang, CoB (NBS), Female,4.05
3. 1198, Fatima Ali, MAE, Female,4.15
4. 354, Haris Malik, CEE, Male,4.05
5. 443, Huang Wei Lim, WKW SCI, Male,4.05
,,,,
Team 904,,,,
--------------------------------------------------,,,,
1. 5082, Gunnar Yang, CoE, Male,4.2
2. 4705, Hui Ling Ng, EEE, Male,4.2
3. 1834, Ha Tran, SSS, Female,4.15
4. 2401, Karthik Nair, CCDS, Male,4.12
5. 85, Kira Sato, CoB (NBS), Female,4.01
,,,,
Team 905,,,,
--------------------------------------------------,,,,
1. 2173, Kiran Nair, EEE, Male,4.05
2. 3579, Landon Liu, CoE, Male,4.05
3. 4692, Lily Rogers, CoB (NBS), Female,4.2
4. 3450, Lyra Tsai, SSS, Female,4.06
5. 1397, Nadia Aziz, CCEB, Female,4.1
,,,,
Team 906,,,,
--------------------------------------------------,,,,
1. 5763, Mia Sun, CoB (NBS), Female,4.12
2. 3505, Nina Wong, EEE, Female,3.9
3. 5295, Michael Zhang, SSS, Male,3.98
4. 331, Oliver Chen, NIE, Male,4.17
5. 3519, Parker Martin, SoH, Male,4.22
,,,,
Team 907,,,,
--------------------------------------------------,,,,
1. 5166, Qiao Min, EEE, Female,4.01
2. 692, Samantha Ng, CoB (NBS), Female,4.18
3. 5206, Raymond Lim, CoE, Male,4.07
4. 1009, Samia Khan, SSS, Female,4.03
5. 5104, Samuel Lim, SPMS, Male,4.11
,,,,
Team 908,,,,
--------------------------------------------------,,,,
1. 2377, Ryan Peterson, CoE, Male,4.15
2. 5208, Tristan Zhang, CEE, Male,4.09
3. 5531, Sofia Lin, CoB (NBS), Female,4.14
4. 84, Tallulah Tan, MAE, Female,4.05
5. 2015, Tanisha Malhotra, ASE, Female,4.21
,,,,
Team 909,,,,
--------------------------------------------------,,,,
1. 4760, Uli Dwi, CoB (NBS), Female,4.1
2. 5845, Yoko Taniguchi, CCDS, Female,3.85
3. 4986, Xander Wang, CEE, Male,4.14
4. 4084, Xavier Cox, NIE, Male,4.19
5. 5760, Zane Chen, EEE, Male,4.01
,,,,
Team 910,,,,
--------------------------------------------------,,,,
1. 2441, Wei Ming, CCDS, Male,4.06
2. 474, Vikram Rao, CoB (NBS), Male,3.82
3. 3584, Xing Wei, CEE, Male,4.1
4. 1695, Zainab Binti Musa, CoB (NBS), Female,4.15
5. 4996, Zheng Li, CCDS, Male,4.11
,,,,
Group G-92:,,,,
==================================================,,,,
,,,,
Team 911,,,,
--------------------------------------------------,,,,
1. 99, Abigail Lee, EEE, Female,4.09
2. 4073, Anum Iqbal, CoB (NBS), Female,4.15
3. 1189, Aria Patel, SoH, Female,4.12
4. 2369, Hao Jun Lim, CCEB, Male,4.1
5. 904, Harris Rahman, CCDS, Male,4
,,,,
Team 912,,,,
--------------------------------------------------,,,,
1. 3856, Avery Reyes, CCDS, Female,4.22
2. 380, Ella Ramirez, CoB (NBS), Female,4.01
3. 3023, Carter Young, EEE, Male,4.1
4. 461, Fathima Khan, CCEB, Female,4.25
5. 5470, Husni Bin Mohd, CEE, Male,4.15
,,,,
Team 913,,,,
--------------------------------------------------,,,,
1. 2304, Erica Chen, CoB (NBS), Female,4.17
2. 3013, Harper Chen, NIE, Female,4.12
3. 2210, Ilya Semyonov, CCDS, Male,4.09
4. 146, Jasmine Zhao, MAE, Female,4.19
5. 3793, Jett Green, CEE, Male,4.19
,,,,
Team 914,,,,
--------------------------------------------------,,,,
1. 1913, Heng Wei, CoB (NBS), Male,4
2. 5806, Khanh Nguyen, NIE, Male,4.18
3. 2494, Jessie Tan, CCEB, Female,4
4. 5626, Jing Chen, EEE, Female,4.01
5. 2848, Kuzaimi Bin Rahman, CEE, Male,4
,,,,
Team 915,,,,
--------------------------------------------------,,,,
1. 1700, Kevin Chang, CoB (NBS), Male,4.03
2. 2900, Leo Turner, SBS, Male,4.19
3. 5865, Lan Xiu, SPMS, Female,4.23
4. 4027, Lucas Lee, EEE, Male,4.2
5. 4369, Megan Tan, SSS, Female,4.15
,,,,
Team 916,,,,
--------------------------------------------------,,,,
1. 3768, Ming Zhou, CoE, Male,4.18
2. 4146, Amit Chandra, CoB (NBS), Male,3.85
3. 4627, Michael Brown, WKW SCI, Male,3.9
4. 1391, Qistina Binti Mohd, MSE, Female,4.2
5. 4113, Rania Noor, SBS, Female,3.94
,,,,
Team 917,,,,
--------------------------------------------------,,,,
1. 3047, Nico Lim, NIE, Male,4.22
2. 1185, Nicolas Brown, SPMS, Male,4.08
3. 1332, Lily Smith, CoB (NBS), Female,3.92
4. 4635, Qais Bin Mohd, CCDS, Male,4.25
5. 2063, Samantha Evans, CCEB, Female,4.03
,,,,
Team 918,,,,
--------------------------------------------------,,,,
1. 5135, Quin Tsang, CCEB, Male,4.22
2. 555, Ricky Tan, CCDS, Male,4.02
3. 3900, Riley Green, CoB (NBS), Female,4.03
4. 2236, Salina Binti Omar, SPMS, Female,3.95
5. 2681, Samuel Robinson, SBS, Male,4.06
,,,,
Team 919,,,,
--------------------------------------------------,,,,
1. 175, Sara Zhang, WKW SCI, Female,4.17
2. 4945, Sarah Kelly, CoB (NBS), Female,4.17
3. 4202, Sasha Lim, SoH, Female,4.12
4. 1199, Tariq Khan, NIE, Male,4
5. 4400, Tobias Li, CCDS, Male,4.22
,,,,
Team 920,,,,
--------------------------------------------------,,,,
1. 4344, Tatiana Ivanovna, SSS, Female,4.16
2. 5292, Shalini Rao, EEE, Female,3.92
3. 1333, Vincent Wong, NIE, Male,4.02
4. 2301, Zane Tan, MAE, Male,4.2
5. 2325, Xander Yip, EEE, Male,4.21
,,,,
Group G-93:,,,,
==================================================,,,,
,,,,
Team 921,,,,
--------------------------------------------------,,,,
1. 3834, Adeel Hussain, SoH, Male,4.23
2. 4907, Aman Kumar, CCEB, Male,4.18
3. 2172, Aisha Binti, CoB (NBS), Female,4.02
4. 1498, Akemi Saito, NIE, Female,4.52
5. 4710, Anjali Joshi, EEE, Female,4.15
,,,,
Team 922,,,,
--------------------------------------------------,,,,
1. 4972, Anya Tan, SSS, Female,4.02
2. 2761, Anu Joshi, CoB (NBS), Female,4.48
3. 5807, Benjamin Zhang, CCDS, Male,4.27
4. 2599, Charles Cooper, ADM, Male,4.02
5. 3342, Chau Tran, NIE, Male,4.25
,,,,
Team 923,,,,
--------------------------------------------------,,,,
1. 5001, Carter Liu, CoB (NBS), Male,4.17
2. 492, Darren Yeo, EEE, Male,4.2
3. 1948, Cika Puspita, CCDS, Female,4.1
4. 3751, Finn Walker, ADM, Male,4.1
5. 1857, Fitriani Rahayu, SSS, Female,4.05
,,,,
Team 924,,,,
--------------------------------------------------,,,,
1. 4176, Henry Lin, EEE, Male,4.09
2. 1118, Hiroshi Tanaka, CoB (NBS), Male,4.15
3. 4065, Holly Zhang, MAE, Female,4.03
4. 1921, Joseph Parker, CCDS, Male,4.12
5. 1394, Lydia Bennett, SoH, Female,4
,,,,
Team 925,,,,
--------------------------------------------------,,,,
1. 1028, Kriti Jain, EEE, Female,4.2
2. 2651, Disha Mehta, CoB (NBS), Female,3.86
3. 4752, Liam Ng, SBS, Male,4
4. 106, Lily White, CCDS, Female,4.18
5. 5798, Lucas Ong, CEE, Male,4.19
,,,,
Team 926,,,,
--------------------------------------------------,,,,
1. 4610, Logan Perry, EEE, Male,4.08
2. 1295, Maxwell Li, CoB (NBS), Male,4.05
3. 5446, Meera Iyer, CCEB, Female,4.18
4. 4653, Oliver Wright, CCDS, Male,4.18
5. 4597, Pamela Tan, CoE, Female,4.14
,,,,
Team 927,,,,
--------------------------------------------------,,,,
1. 1932, Niamh Wright, CoB (NBS), Female,4.09
2. 2249, Omar Khan, EEE, Female,4.2
3. 5307, Peizhen, CoE, Male,4.05
4. 2185, Rania Binti Ali, ADM, Female,4.1
5. 5013, Rohan Bhatt, CEE, Male,4.18
,,,,
Team 928,,,,
--------------------------------------------------,,,,
1. 2064, Ronghua, NIE, Female,4.15
2. 816, Khalisah Binti Mohd, CoB (NBS), Female,3.9
3. 3293, Sari Rakhmawati, SoH, Female,4.79
4. 601, Ulysses Yip, EEE, Male,4.01
5. 3822, Yuan Lei, CCEB, Male,4.12
,,,,
Team 929,,,,
--------------------------------------------------,,,,
1. 893, Sofia Williams, CoB (NBS), Female,4.09
2. 4566, Sonia Kapoor, SBS, Female,4.19
3. 5862, Tanya Mohan, LKCMedicine, Female,4.06
4. 1637, Zane Chan, CEE, Male,4.19
5. 1147, Zhi Zhen, SSS, Male,3.92
,,,,
Team 930,,,,
--------------------------------------------------,,,,
1. 5634, Willow Bennett, CCEB, Female,4.1
2. 4970, Tran Thi Luong, SSS, Female,3.88
3. 5610, Xiu Zhen Tan, CCDS, Female,4.1
4. 1205, Zainab Malik, MAE, Female,4.19
5. 22, Zara Johnson, CCEB, Female,4.05
,,,,
Group G-94:,,,,
==================================================,,,,
,,,,
Team 931,,,,
--------------------------------------------------,,,,
1. 184, Adriel Tan, SoH, Male,4.03
2. 2508, Ahmed Choudhary, CCEB, Male,3.85
3. 94, Ajay Bansal, MAE, Male,4.11
4. 4230, Anita Devi, SSS, Female,3.85
5. 2437, Charlotte Foster, CEE, Female,4
,,,,
Team 932,,,,
--------------------------------------------------,,,,
1. 1583, Amir Bin Khair, CEE, Male,4.05
2. 4522, Caleb Hughes, SSS, Male,4.08
3. 241, Chloe Davis, MAE, Female,4.15
4. 1793, Ella Tan, EEE, Female,4.14
5. 5753, Ezekiel Li, CCEB, Male,4.04
,,,,
Team 933,,,,
--------------------------------------------------,,,,
1. 1751, Cindy Tan, MAE, Female,4.15
2. 4232, Fatimah Noor, CCEB, Female,4.14
3. 1481, Freddy Wong, CoB (NBS), Male,4.22
4. 5169, Gracie Hall, MSE, Female,3.85
5. 5133, Houston Chen, ADM, Male,4.14
,,,,
Team 934,,,,
--------------------------------------------------,,,,
1. 3910, Hannah Morris, SPMS, Female,4.01
2. 5484, Chloe Robinson, MAE, Female,3.91
3. 4983, Ishika Roy, EEE, Female,4.19
4. 2499, Jackson Allen, CoE, Male,4.12
5. 579, James Nelson, CEE, Male,4.01
,,,,
Team 935,,,,
--------------------------------------------------,,,,
1. 2551, Ivy Lin, CoB (NBS), Female,4.18
2. 63, Lara Wong, WKW SCI, Female,4.05
3. 5179, Kade Wu, LKCMedicine, Male,4.1
4. 3438, Layla Alvi, SBS, Female,4.09
5. 3892, Long Thi Bich, CoE, Male,4.11
,,,,
Team 936,,,,
--------------------------------------------------,,,,
1. 551, Lorenzo Wu, SBS, Male,4.04
2. 4137, Mason Lee, CoE, Male,4.03
3. 1071, Margaret Tan, CEE, Female,4.19
4. 4033, Maya Huang, CCEB, Female,4.06
5. 4530, Nan Liu, NIE, Female,4.04
,,,,
Team 937,,,,
--------------------------------------------------,,,,
1. 2725, Natalia Chen, SSS, Female,4.06
2. 1893, Nida Javed, SBS, Female,4.19
3. 5203, Nikhil Bansal, CoB (NBS), Male,3.88
4. 4082, Paige Wong, SoH, Female,4.06
5. 727, Parker Wu, SPMS, Male,4.48
,,,,
Team 938,,,,
--------------------------------------------------,,,,
1. 3637, Pallavi Reddy, MAE, Female,4.12
2. 998, Paola Santos, CoE, Female,3.95
3. 4556, Peixuan, CoB (NBS), Female,4.25
4. 3432, Rully Prabowo, ASE, Male,4.15
5. 5719, Spencer Xu, EEE, Male,4.11
,,,,
Team 939,,,,
--------------------------------------------------,,,,
1. 1969, Riley Turner, EEE, Female,4.22
2. 797, Riya Kapoor, MSE, Female,4.06
3. 2240, Saanvi Verma, CCDS, Female,4.18
4. 5409, Wang Wei, SPMS, Male,4.15
5. 156, Scarlett Collins, CoB (NBS), Female,4.18
,,,,
Team 940,,,,
--------------------------------------------------,,,,
1. 3495, Shan Mei, MAE, Female,4.03
2. 4891, Sheela Krishnan, SSS, Female,4
3. 1669, Sofia Cooper, CEE, Female,4.03
4. 2899, Zainab Rehman, CoB (NBS), Female,4.14
5. 1107, Zara Khan, CoB (NBS), Female,4.09
,,,,
Group G-95:,,,,
==================================================,,,,
,,,,
Team 941,,,,
--------------------------------------------------,,,,
1. 5440, Adil Khan, CoE, Male,4.09
2. 4186, Aditya Bansal, WKW SCI, Male,4.02
3. 2284, Ailin, SoH, Male,4.3
4. 3012, Anam Iqbal, SSS, Female,4.14
5. 3734, Aubrey Collins, CEE, Female,3.91
,,,,
Team 942,,,,
--------------------------------------------------,,,,
1. 4439, Caden Rivera, CEE, Male,4.03
2. 721, Carter Li, WKW SCI, Male,4.18
3. 1880, Christopher Martinez, SSS, Male,4.17
4. 4704, Dahlia Cooper, MAE, Female,4.1
5. 251, Isabella White, SoH, Female,3.94
,,,,
Team 943,,,,
--------------------------------------------------,,,,
1. 1846, Darren Scott, CoE, Male,4.18
2. 3698, Hui Ying Tan, CoB (NBS), Male,4
3. 3059, Emily Ho, MAE, Female,3.88
4. 3158, Jae-Min Park, CCDS, Male,4.52
5. 1211, Kanya Setiawati, EEE, Female,3.9
,,,,
Team 944,,,,
--------------------------------------------------,,,,
1. 4480, Jesse Bennett, EEE, Male,4.11
2. 1060, Igor Kuznetsov, CoB (NBS), Male,3.9
3. 5710, Kartik Nair, SoH, Male,4.26
4. 3466, Li Jing, CEE, Female,3.89
5. 808, Lillian Cooper, CCEB, Female,4.05
,,,,
Team 945,,,,
--------------------------------------------------,,,,
1. 1581, Kunal Joshi, ASE, Male,4.1
2. 4615, Kenta Matsumoto, CCEB, Male,3.86
3. 3339, Koh Tze, NIE, Male,3.88
4. 2700, Layla Tan, EEE, Female,3.94
5. 2572, Madeline Wu, SSS, Female,4.11
,,,,
Team 946,,,,
--------------------------------------------------,,,,
1. 3885, Liam Yu, MAE, Male,4.01
2. 1928, Ming Wei, NIE, Male,4.15
3. 3151, Lijun, EEE, Female,4.2
4. 1848, Malaya Chen, SSS, Female,4.03
5. 2917, Manisha Wadhwa, SoH, Female,4.17
,,,,
Team 947,,,,
--------------------------------------------------,,,,
1. 591, Ming Yu, MSE, Male,4.12
2. 1509, Nianzu, WKW SCI, Male,4
3. 4085, Matthew Baker, CCDS, Male,4.5
4. 3410, Raegan Chen, CCEB, Female,4
5. 3545, Saniya Ali, SSS, Female,4.08
,,,,
Team 948,,,,
--------------------------------------------------,,,,
1. 4812, Quincy Ramos, CoB (NBS), Male,4.05
2. 4926, Quinton Young, SBS, Male,4.03
3. 3412, Rishabh Yadav, EEE, Male,4.01
4. 4733, Scarlett Lee, SoH, Female,3.89
5. 5455, Selah Lin, CCEB, Female,3.95
,,,,
Team 949,,,,
--------------------------------------------------,,,,
1. 2501, Riku Nakamura, CoB (NBS), Male,4
2. 5242, Rizky Hidayat, CCEB, Male,4.1
3. 3562, Saqib Khan, CoE, Male,4.16
4. 191, Ying Hui, CCDS, Female,4.2
5. 5407, Zara Binti Zain, CEE, Female,3.91
,,,,
Team 950,,,,
--------------------------------------------------,,,,
1. 4567, Siddharth Patil, CoE, Male,4.11
2. 2226, Subhash Yadav, SSS, Male,4.19
3. 2480, Zara Noor, ADM, Female,4.04
4. 5284, Souta Watanabe, CoE, Male,3.8
5. 657, Yong Cheng Tan, CoE, Male,4.2
,,,,
Group G-96:,,,,
==================================================,,,,
,,,,
Team 951,,,,
--------------------------------------------------,,,,
1. 3447, Aditi Chai, SSS, Female,4.03
2. 5587, Aisha Binti Rahman, CCEB, Female,3.85
3. 2909, Alexander Green, EEE, Male,4.1
4. 5278, Anjali Tiwari, LKCMedicine, Female,3.94
5. 215, Ayaan Shah, CCDS, Male,4.02
,,,,
Team 952,,,,
--------------------------------------------------,,,,
1. 5197, Asher Li, EEE, Male,4.04
2. 5363, Chad Dela Cruz, CoB (NBS), Male,4.02
3. 3171, Cody Evans, SBS, Male,4.02
4. 4693, Ellie Bell, LKCMedicine, Female,3.86
5. 2888, Ellie Rivera, SSS, Female,4.1
,,,,
Team 953,,,,
--------------------------------------------------,,,,
1. 4906, Caiyun, EEE, Female,4
2. 2905, Ella Wright, SBS, Female,3.88
3. 4370, Dhruv Srivastava, CCDS, Male,4.03
4. 3552, Dmitri Andreevich, CEE, Male,4
5. 2826, Faisal Bukhari, CoB (NBS), Female,4.03
,,,,
Team 954,,,,
--------------------------------------------------,,,,
1. 4488, Derek Chen, EEE, Male,4.1
2. 2404, Isaiah Li, CoB (NBS), Male,4.15
3. 3617, Gwen Kwan, MAE, Female,4
4. 5196, Huilin, SoH, Female,4.2
5. 4092, Kunal Sinha, SBS, Male,4.12
,,,,
Team 955,,,,
--------------------------------------------------,,,,
1. 4614, Ethan Harris, EEE, Male,4.14
2. 3862, Jin-Soo Lee, MAE, Male,4.17
3. 1544, Jessica Tan, CoB (NBS), Female,4.04
4. 1088, Liang Bo, LKCMedicine, Male,3.91
5. 609, Marina Tan, CCDS, Female,4.17
,,,,
Team 956,,,,
--------------------------------------------------,,,,
1. 3738, Fang Xiu, EEE, Female,4.17
2. 3516, Nadia Binti Ahmad, SSS, Female,4.1
3. 2344, Manish Verma, CoB (NBS), Male,4.05
4. 5207, Olive Lim, SBS, Female,4.21
5. 717, Victor Santos, CCDS, Male,4.1
,,,,
Team 957,,,,
--------------------------------------------------,,,,
1. 4079, Jack Peterson, EEE, Male,3.95
2. 2782, Samuel Robinson, CoB (NBS), Male,4.14
3. 979, Patty Lim, CCDS, Female,4.12
4. 5834, Rida Iqbal, CCEB, Female,4.06
5. 5352, Sophia Smith, MAE, Female,4.15
,,,,
Team 958,,,,
--------------------------------------------------,,,,
1. 5652, Liam Wang, EEE, Male,4.06
2. 5050, Yun Chen, SBS, Male,4.2
3. 3783, Ranya Al-Mansoori, CCDS, Female,4.17
4. 3224, Ritika Mehta, CCEB, Female,4.08
5. 5262, Samantha Flores, CoB (NBS), Female,4.02
,,,,
Team 959,,,,
--------------------------------------------------,,,,
1. 4288, Oscar Lim, EEE, Male,4.17
2. 558, Zhao Lei, WKW SCI, Male,4.15
